appid,name,language
3576070,Sudden Attack Zero Point,English
3576070,Sudden Attack Zero Point,*
3576070,Sudden Attack Zero Point,Portuguese
2253100,Everwind,English
2253100,Everwind,French
2253100,Everwind,German
2253100,Everwind,Spanish
1913120,Tears of Metal,English
1913120,Tears of Metal,French
1913120,Tears of Metal,Italian
1913120,Tears of Metal,German
1913120,Tears of Metal,Japanese
1913120,Tears of Metal,Korean
1913120,Tears of Metal,Russian
1913120,Tears of Metal,Simplified Chinese
1913120,Tears of Metal,Spanish
1963610,Road to Vostok,English
1963610,Road to Vostok,*
1059220,'83,English
1181550,Carnival Hunt,English
1181550,Carnival Hunt,*
1181550,Carnival Hunt,French
1181550,Carnival Hunt,Italian
1181550,Carnival Hunt,German
1181550,Carnival Hunt,Spanish
1181550,Carnival Hunt,Japanese
1181550,Carnival Hunt,Korean
1181550,Carnival Hunt,Russian
1181550,Carnival Hunt,Simplified Chinese
1181550,Carnival Hunt,Swedish
1181550,Carnival Hunt,Traditional Chinese
1181550,Carnival Hunt,Arabic
1181550,Carnival Hunt,Bulgarian
1181550,Carnival Hunt,Portuguese
3583210,Crashout Crew,English
3583210,Crashout Crew,*
3583210,Crashout Crew,French
3583210,Crashout Crew,Italian
3583210,Crashout Crew,German
3583210,Crashout Crew,Spanish
3636770,Servant of the Lake,English
3636770,Servant of the Lake,French
3636770,Servant of the Lake,Italian
3636770,Servant of the Lake,German
3636770,Servant of the Lake,Spanish
3105440,Heroes of Might and Magic: Olden Era,English
3105440,Heroes of Might and Magic: Olden Era,*
3105440,Heroes of Might and Magic: Olden Era,French
3105440,Heroes of Might and Magic: Olden Era,German
3105440,Heroes of Might and Magic: Olden Era,Spanish
2966320,Starsand Island,Simplified Chinese
2966320,Starsand Island,*
2966320,Starsand Island,English
2966320,Starsand Island,Japanese
2966320,Starsand Island,Traditional Chinese
2652600,SealChain: Call of Blood,Simplified Chinese
2652600,SealChain: Call of Blood,English
2652600,SealChain: Call of Blood,German
2652600,SealChain: Call of Blood,Spanish
3270430,Systemic War,English
3270430,Systemic War,*
3270430,Systemic War,Polish
2413950,Final Sentence,English
2413950,Final Sentence,*
2413950,Final Sentence,French
2413950,Final Sentence,German
2413950,Final Sentence,Spanish
2532480,"Warhammer 40,000: Mechanicus II",English
2532480,"Warhammer 40,000: Mechanicus II",*
2532480,"Warhammer 40,000: Mechanicus II",French
2532480,"Warhammer 40,000: Mechanicus II",Italian
2532480,"Warhammer 40,000: Mechanicus II",German
2532480,"Warhammer 40,000: Mechanicus II",Spanish
3810880,"THE CUBE, SAVE US",English
3810880,"THE CUBE, SAVE US",French
3810880,"THE CUBE, SAVE US",German
3810880,"THE CUBE, SAVE US",Spanish
3009300,Teamfight Manager 2,English
3009300,Teamfight Manager 2,Korean
3009300,Teamfight Manager 2,German
3009300,Teamfight Manager 2,Japanese
3009300,Teamfight Manager 2,Simplified Chinese
3009300,Teamfight Manager 2,Traditional Chinese
3009300,Teamfight Manager 2,French
3009300,Teamfight Manager 2,Spanish
2643390,Star Trek: Voyager - Across the Unknown,English
2643390,Star Trek: Voyager - Across the Unknown,*
2643390,Star Trek: Voyager - Across the Unknown,French
2643390,Star Trek: Voyager - Across the Unknown,German
2643390,Star Trek: Voyager - Across the Unknown,Spanish
2830030,MOTORSLICE,English
2830030,MOTORSLICE,*
2830030,MOTORSLICE,Portuguese
2914150,Yunyun Syndrome!? Rhythm Psychosis,English
2914150,Yunyun Syndrome!? Rhythm Psychosis,Simplified Chinese
2914150,Yunyun Syndrome!? Rhythm Psychosis,Japanese
2914150,Yunyun Syndrome!? Rhythm Psychosis,*
2914150,Yunyun Syndrome!? Rhythm Psychosis,Traditional Chinese
2914150,Yunyun Syndrome!? Rhythm Psychosis,Korean
2914150,Yunyun Syndrome!? Rhythm Psychosis,French
2914150,Yunyun Syndrome!? Rhythm Psychosis,German
2914150,Yunyun Syndrome!? Rhythm Psychosis,Portuguese
2697000,The Legend of Khiimori,English
2697000,The Legend of Khiimori,*
2697000,The Legend of Khiimori,German
2697000,The Legend of Khiimori,French
2697000,The Legend of Khiimori,Spanish
2697000,The Legend of Khiimori,Serbian
2697000,The Legend of Khiimori,Slovak
2697000,The Legend of Khiimori,Tamil
3643170,Roadside Research,English
3643170,Roadside Research,French
3643170,Roadside Research,Italian
3643170,Roadside Research,German
3643170,Roadside Research,Spanish
1263240,Skate Story,English
1263240,Skate Story,*
1263240,Skate Story,French
1263240,Skate Story,German
1263240,Skate Story,Spanish
1588550,Cairn,English
1588550,Cairn,*
1588550,Cairn,French
1588550,Cairn,Italian
1588550,Cairn,German
1588550,Cairn,Spanish
1783560,The Last Caretaker,English
1783560,The Last Caretaker,*
1783560,The Last Caretaker,French
1783560,The Last Caretaker,German
1783560,The Last Caretaker,Japanese
1783560,The Last Caretaker,Portuguese
1826420,CarX Drift Racing Online 2,Russian
1826420,CarX Drift Racing Online 2,English
2070270,Cloudheim,English
2070270,Cloudheim,French
2070270,Cloudheim,German
2070270,Cloudheim,Spanish
2119830,MISERY,English
2119830,MISERY,*
2119830,MISERY,Russian
2119830,MISERY,French
2119830,MISERY,Italian
2119830,MISERY,German
2119830,MISERY,Spanish
2119830,MISERY,Japanese
2119830,MISERY,Korean
2119830,MISERY,Polish
2119830,MISERY,Portuguese
2119830,MISERY,Simplified Chinese
2119830,MISERY,Traditional Chinese
2119830,MISERY,Turkish
2119830,MISERY,Ukrainian
2129530,REANIMAL,English
2129530,REANIMAL,*
2129530,REANIMAL,French
2129530,REANIMAL,Italian
2129530,REANIMAL,German
2129530,REANIMAL,Spanish
2129530,REANIMAL,Traditional Chinese
2129530,REANIMAL,Simplified Chinese
2129530,REANIMAL,Japanese
2129530,REANIMAL,Korean
2129530,REANIMAL,Polish
2129530,REANIMAL,Russian
2129530,REANIMAL,Czech
2300120,Painkiller,English
2300120,Painkiller,*
2300120,Painkiller,French
2300120,Painkiller,Italian
2300120,Painkiller,German
2300120,Painkiller,Spanish
2397300,Half Sword,English
2432860,MENACE,English
2432860,MENACE,*
2432860,MENACE,French
2432860,MENACE,German
2432860,MENACE,Spanish
2687400,GODBREAKERS,English
2687400,GODBREAKERS,*
2687400,GODBREAKERS,French
2687400,GODBREAKERS,Italian
2687400,GODBREAKERS,German
2687400,GODBREAKERS,Spanish
2753970,MARVEL Cosmic Invasion,English
2753970,MARVEL Cosmic Invasion,*
2753970,MARVEL Cosmic Invasion,French
2753970,MARVEL Cosmic Invasion,Italian
2753970,MARVEL Cosmic Invasion,German
2753970,MARVEL Cosmic Invasion,Spanish
2795540,The Midnight Walkers,English
2795540,The Midnight Walkers,*
2795540,The Midnight Walkers,Korean
2795540,The Midnight Walkers,Japanese
2795540,The Midnight Walkers,Simplified Chinese
2795540,The Midnight Walkers,French
2795540,The Midnight Walkers,Italian
2795540,The Midnight Walkers,German
2795540,The Midnight Walkers,Spanish
2878450,Master of Command,English
2878450,Master of Command,*
2878450,Master of Command,French
2878450,Master of Command,German
2878450,Master of Command,Spanish
2893820,Of Ash and Steel,English
2893820,Of Ash and Steel,*
2893820,Of Ash and Steel,Russian
2893820,Of Ash and Steel,French
2893820,Of Ash and Steel,German
2893820,Of Ash and Steel,Spanish
2923350,Ultimate Sheep Raccoon,English
2923350,Ultimate Sheep Raccoon,French
2923350,Ultimate Sheep Raccoon,Japanese
2923350,Ultimate Sheep Raccoon,Korean
2923350,Ultimate Sheep Raccoon,Russian
2923350,Ultimate Sheep Raccoon,Simplified Chinese
2923350,Ultimate Sheep Raccoon,Traditional Chinese
2923350,Ultimate Sheep Raccoon,Italian
2923350,Ultimate Sheep Raccoon,German
2923350,Ultimate Sheep Raccoon,Polish
2923350,Ultimate Sheep Raccoon,Spanish
2956680,LORT,English
2956680,LORT,*
2956680,LORT,Simplified Chinese
2956680,LORT,French
2956680,LORT,German
2956680,LORT,Spanish
2968420,PowerWash Simulator 2,English
2968420,PowerWash Simulator 2,French
2968420,PowerWash Simulator 2,Italian
2968420,PowerWash Simulator 2,German
2968420,PowerWash Simulator 2,Spanish
3124340,Demeo x Dungeons & Dragons: Battlemarked,English
3124340,Demeo x Dungeons & Dragons: Battlemarked,*
3124340,Demeo x Dungeons & Dragons: Battlemarked,French
3124340,Demeo x Dungeons & Dragons: Battlemarked,German
3124340,Demeo x Dungeons & Dragons: Battlemarked,Japanese
3124340,Demeo x Dungeons & Dragons: Battlemarked,Korean
3124340,Demeo x Dungeons & Dragons: Battlemarked,Spanish
3179350,Long Drive North: Co-Op RV Simulator,English
3179350,Long Drive North: Co-Op RV Simulator,*
3179350,Long Drive North: Co-Op RV Simulator,French
3179350,Long Drive North: Co-Op RV Simulator,Italian
3179350,Long Drive North: Co-Op RV Simulator,German
3179350,Long Drive North: Co-Op RV Simulator,Spanish
3226450,iRacing Arcade,English
3226450,iRacing Arcade,French
3226450,iRacing Arcade,Italian
3226450,iRacing Arcade,German
3226450,iRacing Arcade,Portuguese
3274580,Anno 117: Pax Romana,English
3274580,Anno 117: Pax Romana,*
3274580,Anno 117: Pax Romana,French
3274580,Anno 117: Pax Romana,Italian
3274580,Anno 117: Pax Romana,German
3274580,Anno 117: Pax Romana,Spanish
3274580,Anno 117: Pax Romana,Traditional Chinese
3417410,Storebound,English
3417410,Storebound,French
3417410,Storebound,Italian
3417410,Storebound,German
3417410,Storebound,Spanish
3419520,Quarantine Zone: The Last Check,English
3419520,Quarantine Zone: The Last Check,*
3419520,Quarantine Zone: The Last Check,French
3419520,Quarantine Zone: The Last Check,Italian
3419520,Quarantine Zone: The Last Check,German
3419520,Quarantine Zone: The Last Check,Spanish
3419520,Quarantine Zone: The Last Check,Simplified Chinese
3419520,Quarantine Zone: The Last Check,Spanish
3501070,Car Service Together,English
3501070,Car Service Together,*
3501070,Car Service Together,French
3501070,Car Service Together,Italian
3501070,Car Service Together,German
3501070,Car Service Together,Spanish
3762550,HELLMART,English
3762550,HELLMART,*
3762550,HELLMART,French
3762550,HELLMART,Italian
3762550,HELLMART,German
3762550,HELLMART,Spanish
3772810,Desktop Defender,English
3772810,Desktop Defender,French
3772810,Desktop Defender,Italian
3772810,Desktop Defender,German
3772810,Desktop Defender,Spanish
3834090,YAPYAP,English
3834090,YAPYAP,*
3834090,YAPYAP,French
3834090,YAPYAP,Italian
3834090,YAPYAP,German
3834090,YAPYAP,Spanish
3446240,Eastern Era,Traditional Chinese
3446240,Eastern Era,*
3446240,Eastern Era,English
3446240,Eastern Era,Simplified Chinese
3446240,Eastern Era,German
3446240,Eastern Era,Spanish
